"filename", "language", "JavaScript", "PostCSS", "JSON", "XML", "Markdown", "HTML", "Log", "comment", "blank", "total"
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/README.old.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 11, 36
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/data.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/firebase.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/package-lock.json", "JSON", 0, 0, 55986, 0, 0, 0, 0, 0, 1, 55987
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/public/index.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 23, 1, 45
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/App.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/assets/image/logo/Reservia.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/router/Router.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 6, 1, 32
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/HoursDatePicker.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/Info.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 25, 198
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activityDetails/numberOfBuyers/NumberOfBuyers.js", "JavaScript", 353, 0, 0, 0, 0, 0, 0, 0, 21, 374
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activités/AllActivitiesCards.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 16, 113
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/activités/CardActivity.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 11, 90
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/form/dataPicker/DatePickerComps.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 17, 119
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/form/numberOfBuyers/NumberOfBuyers.js", "JavaScript", 351, 0, 0, 0, 0, 0, 0, 0, 20, 371
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/info/Info.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 0, 23, 195
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/modal/DetailModal.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/modal/ImageGrid.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 12, 76
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/modalSlider/ModalSlider.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 2, 21, 138
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/detailsPage/slider/SliderDetails.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 18, 158
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/header/modal/ModalLayout.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 2, 4, 49
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/header/modal/login/LoginForm.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 10, 25, 187
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/header/modal/login/OverlayLogin.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/header/modal/subscribe/OverlaySubscribe.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/header/modal/subscribe/SubscribeForm.js", "JavaScript", 250, 0, 0, 0, 0, 0, 0, 0, 32, 282
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/hebergement/AllHebergementCards.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 2, 19, 148
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/hebergement/CardHebergement.js", "JavaScript", 143, 0, 0, 0, 0, 0, 0, 0, 20, 163
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/activity/Activity.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 21, 147
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/hebergement/Hebergement.js", "JavaScript", 362, 0, 0, 0, 0, 0, 0, 3, 58, 423
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/hebergement/filterList/FilterList.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/hebergement/starsList/StarsList.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/homepage/search/Search.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 2, 41, 332
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/head/Head.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/shoppingCart/ShoppingCart.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 42, 323
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/components/ui/panier/shoppingCart/loginForm/LoginForm.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 10, 19, 128
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/firebase.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/index.css", "PostCSS", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/Layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/footer/Footer.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 11, 79
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/layout/header/Header.js", "JavaScript", 197, 0, 0, 0, 0, 0, 0, 0, 28, 225
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/activityDetails/ActivityDetails.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 118, 4, 154
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/allActivities/AllActivities.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/allHouse/AllHouse.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/detailPage/DetailPage.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 28, 15, 165
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/error/Erreur.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/home/Home.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/panier/Panier.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/activitySlice/activitySlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/cartSlice/cartSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/hebergementSlice/hebergementSlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/layoutSlice/layoutSlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/modalSlice/modalSlice.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 12, 56
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/userSlice/userSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/ui-debug.log", "Log", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"Total", "-", 4485, 19, 56091, 3, 63, 21, 1, 209, 696, 61588